id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,popularity_group
237257,"Out Again, in Again",7.0,1,Released,1948-11-01,0,6,False,,0,,tt0148568,en,"Out Again, in Again","A few weeks before this epic was released, the two magpies had starred in 'Free Enterprise', a cartoon that ended with them both in prison. 'Out Again, in Again' begins like the latest chapter of a serial in progress, with a nasal-voiced narrator informing the audience that ""in our last episode"" Heckle and Jeckle were in prison, and then picking up the action from there.",0.6,,,Animation,Terrytoons,United States of America,,0-2
379258,Star Pink,6.0,3,Released,1978-12-23,0,7,False,,0,,tt0170619,en,Star Pink,"The Pink Panther operates a gas station for space ships, and ends up battling a space villain.",0.739,/au2WSsuC5lp5ZMGvttZSb2Hh6Sk.jpg,,"Animation, Comedy, Family, Science Fiction",DePatie-Freleng Enterprises,United States of America,,0-2
279608,Thunder,6.37,27,Released,1982-07-11,0,5,False,/7DOecq2p0Wwt8BVrXPsM8wbWYbL.jpg,0,,tt0084792,ja,Thunder,"A woman’s face disappearing behind, and emerging from, a pair of hands. Flashing lights. An empty building full of dark hallways. Designs drawn in the air with light and long-exposure cinematography.",1.291,/kSTRMPQRQruzN2Fp4kOHiACh1K5.jpg,,"Fantasy, Mystery, Animation",,Japan,No Language,0-2
628327,Sole,0.0,0,Released,2018-01-01,0,3,False,,0,https://www.yorinarpati.com/sole,tt11190516,en,Sole,"Maia's grandpa was her hero. Despite his weak heart, he loved the outdoors, especially hiking the mountains near their home town. There was just one climb he couldn't finish, and her greatest wish was to finish it for him.",0.6,,,Animation,,Australia,,0-2
748301,A Half-Fledged Thing,0.0,0,Released,,0,2,False,,0,,,en,A Half-Fledged Thing,As a winged seed begins its journey in the world -- something special happens.,0.6,,,Animation,,,,0-2
753701,My Head Aches When I Look Too Long,9.0,1,Released,2020-05-13,0,3,False,,0,,,en,My Head Aches When I Look Too Long,An exploration of shame and queer identity as it relates to technology and pornography,0.6,/t6sdOzH14Xq68tAVZIkTIQOc8Tx.jpg,It wasn't even a pretty picture...,Animation,CalArts,United States of America,,0-2
85808,"Korochan, The Little Bear",4.0,1,Released,1958-03-01,0,11,False,,0,,,ja,Koguma no Koro-chan,A Japanese fairy tale about a bear cub who would rather play than help his parents with house chores.,0.6,/2wivylztf3QDQ2XIX5VsOLx1Wd6.jpg,,Animation,,Japan,Japanese,0-2
1213106,The Pink Panther Cartoon Collection Vol. 6 (1978-1980),0.0,0,Released,2019-12-17,0,0,False,/yj5RdQ6trMLOJrLmgKhSmwzD73i.jpg,0,,,en,The Pink Panther Cartoon Collection Vol. 6 (1978-1980),"In the sixth and final volume of Pink Panther shorts, produced primarily for The All New Pink Panther Show, the animators at DePatie-Freleng revisited some of the character’s most hilarious and endearing situations, haunting the nightmares of his long-time “Little Man” nemesis (Pinkologist), performing a Chaplinesque battle of cat vs. appliance (Pink Breakfast), and delving into the surreal with the space opera Star Pink and the high-concept String Along in Pink. The collection ends with the final short in the series, Supermarket Pink, a clever satire of consumer culture.",0.0,/yr4SYyhQizrfAh4Fyp7fY5vpn4b.jpg,,Animation,,,,0-2
736708,"Another Day, Another Doormat",0.0,0,Released,1959-04-01,0,6,False,,0,,tt0149680,en,"Another Day, Another Doormat","Johnny Doormat has a domineering, nagging wife. He takes his ire at her out on his office workers. His wife sees him at a tobacco shop and, through an illusion, pictures him as her television hero. But when he gets home, he has turned back into his meek, spineless self.",0.6,/lzqzLx8CXMmMxeoZ9BsygA15NKL.jpg,,Animation,,United States of America,,0-2
343977,Tom and Jerry: Spy Quest,5.75,46,Released,2015-06-09,0,73,False,/vOjJf8avUb0yZbnpUBYq3y13wYj.jpg,0,,tt4692656,en,Tom and Jerry: Spy Quest,Two groups of classic cartoon characters come together in this fun-filled crossover with the popular action-adventure series Jonny Quest. Fans of all ages won't want to miss this heart-stopping romp as Tom and Jerry join Jonny Quest and his pal Hadji and embark on a dangerous spy mission in order to save the world.,7.147,/5tCVbv0OlEdhBSnK0f7xO39uLwn.jpg,,"Animation, Family, Comedy","Warner Bros. Animation, Turner Entertainment",United States of America,English,6-8
